,instant,dteday,season,weathersit,temp,casual,registered
143,143,2011-05-23,2,2,25.9,836,3438
144,144,2011-05-24,2,2,27.1,659,3833
145,145,2011-05-25,2,1,27.1,740,4238
146,146,2011-05-26,2,1,29.0,758,3919
147,147,2011-05-27,2,1,27.9,871,3808
148,148,2011-05-28,2,1,26.9,2001,2757
149,149,2011-05-29,2,1,27.4,2355,2433
150,150,2011-05-30,2,1,30.1,1549,2549
151,151,2011-05-31,2,1,31.8,673,3309
152,152,2011-06-01,2,2,31.3,513,3461
153,153,2011-06-02,2,1,29.3,736,4232
154,154,2011-06-03,2,1,25.4,898,4414
155,155,2011-06-04,2,1,26.0,1869,3473
156,156,2011-06-05,2,2,26.6,1685,3221
157,157,2011-06-06,2,1,27.8,673,3875
158,158,2011-06-07,2,1,29.0,763,4070
159,159,2011-06-08,2,1,31.8,676,3725
160,160,2011-06-09,2,2,33.1,563,3352
161,161,2011-06-10,2,1,31.0,815,3771
162,162,2011-06-11,2,1,29.7,1729,3237
163,163,2011-06-12,2,1,28.4,1467,2993
164,164,2011-06-13,2,1,26.0,863,4157
165,165,2011-06-14,2,1,24.8,727,4164
166,166,2011-06-15,2,1,25.7,769,4411
167,167,2011-06-16,2,2,25.8,545,3222
168,168,2011-06-17,2,1,26.6,863,3981
169,169,2011-06-18,2,1,28.6,1807,3312
170,170,2011-06-19,2,2,28.7,1639,3105
171,171,2011-06-20,2,2,26.0,699,3311
172,172,2011-06-21,3,2,27.9,774,4061
173,173,2011-06-22,3,1,30.1,661,3846
174,174,2011-06-23,3,2,29.9,746,4044
175,175,2011-06-24,3,1,29.7,969,4022
176,176,2011-06-25,3,1,28.5,1782,3420
177,177,2011-06-26,3,1,27.9,1920,3385
178,178,2011-06-27,3,2,28.0,854,3854
179,179,2011-06-28,3,1,30.5,732,3916
180,180,2011-06-29,3,1,29.9,848,4377
181,181,2011-06-30,3,1,28.6,1027,4488
182,182,2011-07-01,3,1,29.6,1246,4116
183,183,2011-07-02,3,1,30.3,2204,2915
184,184,2011-07-03,3,2,29.4,2282,2367
185,185,2011-07-04,3,2,29.8,3065,2978
186,186,2011-07-05,3,1,30.6,1031,3634
187,187,2011-07-06,3,1,29.5,784,3845
188,188,2011-07-07,3,1,30.8,754,3838
189,189,2011-07-08,3,2,29.1,692,3348
190,190,2011-07-09,3,1,30.1,1988,3348
191,191,2011-07-10,3,1,30.6,1743,3138
192,192,2011-07-11,3,1,31.3,723,3363
193,193,2011-07-12,3,1,32.6,662,3596
194,194,2011-07-13,3,1,30.6,748,3594
195,195,2011-07-14,3,1,27.9,888,4196
196,196,2011-07-15,3,1,27.2,1318,4220
197,197,2011-07-16,3,1,28.2,2418,3505
198,198,2011-07-17,3,1,29.5,2006,3296
199,199,2011-07-18,3,1,30.6,841,3617
200,200,2011-07-19,3,1,31.8,752,3789
201,201,2011-07-20,3,1,31.5,644,3688
202,202,2011-07-21,3,2,33.4,632,3152
203,203,2011-07-22,3,1,34.8,562,2825
204,204,2011-07-23,3,1,34.8,987,2298
205,205,2011-07-24,3,1,34.0,1050,2556
206,206,2011-07-25,3,1,30.5,568,3272
207,207,2011-07-26,3,1,31.6,750,3840
208,208,2011-07-27,3,1,31.8,755,3901
209,209,2011-07-28,3,1,31.9,606,3784
210,210,2011-07-29,3,1,34.4,670,3176
211,211,2011-07-30,3,1,33.0,1559,2916
212,212,2011-07-31,3,1,33.0,1524,2778
213,213,2011-08-01,3,1,31.6,729,3537
214,214,2011-08-02,3,1,32.1,801,4044
215,215,2011-08-03,3,2,30.0,467,3107
216,216,2011-08-04,3,2,29.1,799,3777
217,217,2011-08-05,3,1,29.1,1023,3843
218,218,2011-08-06,3,2,29.4,1521,2773
219,219,2011-08-07,3,1,30.4,1298,2487
220,220,2011-08-08,3,1,31.4,846,3480
221,221,2011-08-09,3,1,31.8,907,3695
222,222,2011-08-10,3,1,31.4,884,3896
223,223,2011-08-11,3,1,29.4,812,3980
224,224,2011-08-12,3,1,29.0,1051,3854
225,225,2011-08-13,3,2,28.1,1504,2646
226,226,2011-08-14,3,2,27.7,1338,2482
227,227,2011-08-15,3,1,27.3,775,3563
228,228,2011-08-16,3,1,28.7,721,4004
229,229,2011-08-17,3,1,29.7,668,4026
230,230,2011-08-18,3,1,29.2,639,3166
231,231,2011-08-19,3,2,28.1,797,3356
232,232,2011-08-20,3,1,28.6,1914,3277
233,233,2011-08-21,3,1,29.1,1249,2624
234,234,2011-08-22,3,1,28.4,833,3925
235,235,2011-08-23,3,1,26.3,1281,4614
236,236,2011-08-24,3,1,27.6,949,4181
237,237,2011-08-25,3,2,28.1,435,3107
238,238,2011-08-26,3,1,28.7,768,3893
239,239,2011-08-27,3,2,27.9,226,889
240,240,2011-08-28,3,1,29.0,1415,2919
241,241,2011-08-29,3,1,26.1,729,3905
242,242,2011-08-30,3,1,26.2,775,4429
243,243,2011-08-31,3,1,26.9,688,4370
244,244,2011-09-01,3,1,26.9,783,4332
245,245,2011-09-02,3,2,26.4,875,3852
246,246,2011-09-03,3,1,27.4,1935,2549
247,247,2011-09-04,3,1,29.1,2521,2419
248,248,2011-09-05,3,2,27.6,1236,2115
249,249,2011-09-06,3,3,22.1,204,2506
250,250,2011-09-07,3,3,24.6,118,1878
251,251,2011-09-08,3,3,26.0,153,1689
252,252,2011-09-09,3,2,26.7,417,3127
253,253,2011-09-10,3,1,27.1,1750,3595
254,254,2011-09-11,3,1,26.8,1633,3413
255,255,2011-09-12,3,1,26.4,690,4023
256,256,2011-09-13,3,1,26.7,701,4062
257,257,2011-09-14,3,1,27.6,647,4138
258,258,2011-09-15,3,2,23.7,428,3231
259,259,2011-09-16,3,2,19.2,742,4018
260,260,2011-09-17,3,2,20.2,1434,3077
261,261,2011-09-18,3,1,20.8,1353,2921
262,262,2011-09-19,3,2,22.5,691,3848
263,263,2011-09-20,3,2,23.0,438,3203
264,264,2011-09-21,3,2,24.4,539,3813
265,265,2011-09-22,3,2,25.8,555,4240
266,266,2011-09-23,4,2,25.0,258,2137
267,267,2011-09-24,4,2,24.9,1776,3647
268,268,2011-09-25,4,2,26.0,1544,3466
269,269,2011-09-26,4,2,26.6,684,3946
270,270,2011-09-27,4,2,26.1,477,3643
271,271,2011-09-28,4,2,26.0,480,3427
272,272,2011-09-29,4,1,25.3,653,4186
273,273,2011-09-30,4,1,23.1,830,4372
274,274,2011-10-01,4,2,16.8,480,1949
275,275,2011-10-02,4,2,14.6,616,2302
276,276,2011-10-03,4,2,15.8,330,3240
277,277,2011-10-04,4,1,19.9,486,3970
278,278,2011-10-05,4,1,22.1,559,4267
279,279,2011-10-06,4,1,20.3,639,4126
280,280,2011-10-07,4,1,20.9,949,4036
281,281,2011-10-08,4,1,21.4,2235,3174
282,282,2011-10-09,4,1,22.2,2397,3114
283,283,2011-10-10,4,1,23.4,1514,3603
284,284,2011-10-11,4,2,23.2,667,3896
285,285,2011-10-12,4,3,22.3,217,2199
286,286,2011-10-13,4,2,24.2,290,2623
287,287,2011-10-14,4,2,22.6,529,3115
288,288,2011-10-15,4,1,20.8,1899,3318
289,289,2011-10-16,4,1,21.0,1748,3293
290,290,2011-10-17,4,1,21.9,713,3857
291,291,2011-10-18,4,2,21.8,637,4111
292,292,2011-10-19,4,3,22.2,254,2170
293,293,2011-10-20,4,1,19.5,471,3724
294,294,2011-10-21,4,1,17.5,676,3628
295,295,2011-10-22,4,1,17.3,1499,2809
296,296,2011-10-23,4,1,17.3,1619,2762
297,297,2011-10-24,4,1,19.0,699,3488
298,298,2011-10-25,4,1,19.3,695,3992
299,299,2011-10-26,4,2,19.9,404,3490
300,300,2011-10-27,4,2,19.3,240,2419
301,301,2011-10-28,4,2,13.6,456,3291
302,302,2011-10-29,4,3,10.4,57,570
303,303,2011-10-30,4,1,13.1,885,2446
304,304,2011-10-31,4,1,13.9,362,3307
305,305,2011-11-01,4,1,16.4,410,3658
306,306,2011-11-02,4,1,15.5,370,3816
307,307,2011-11-03,4,1,16.7,318,3656
308,308,2011-11-04,4,2,16.5,470,3576
309,309,2011-11-05,4,1,13.4,1156,2770
310,310,2011-11-06,4,1,14.3,952,2697
311,311,2011-11-07,4,1,16.2,373,3662
312,312,2011-11-08,4,1,16.7,376,3829
313,313,2011-11-09,4,1,16.4,305,3804
314,314,2011-11-10,4,2,15.6,190,2743
315,315,2011-11-11,4,1,13.3,440,2928
316,316,2011-11-12,4,1,14.6,1275,2792
317,317,2011-11-13,4,1,18.1,1004,2713
318,318,2011-11-14,4,1,21.7,595,3891
319,319,2011-11-15,4,2,21.7,449,3746
320,320,2011-11-16,4,3,18.7,145,1672
321,321,2011-11-17,4,2,14.0,139,2914
322,322,2011-11-18,4,1,11.2,245,3147
323,323,2011-11-19,4,1,13.5,943,2720
324,324,2011-11-20,4,2,19.0,787,2733
325,325,2011-11-21,4,3,18.3,220,2545
326,326,2011-11-22,4,3,17.1,69,1538
327,327,2011-11-23,4,2,18.1,112,2454
328,328,2011-11-24,4,1,15.3,560,935
329,329,2011-11-25,4,1,15.4,1095,1697
330,330,2011-11-26,4,1,15.4,1249,1819
331,331,2011-11-27,4,1,18.8,810,2261
332,332,2011-11-28,4,1,20.6,253,3614
333,333,2011-11-29,4,2,18.8,96,2818
334,334,2011-11-30,4,1,13.3,188,3425
335,335,2011-12-01,4,1,12.8,182,3545
336,336,2011-12-02,4,1,12.9,268,3672
337,337,2011-12-03,4,1,12.3,706,2908
338,338,2011-12-04,4,1,13.6,634,2851
339,339,2011-12-05,4,2,15.8,233,3578
340,340,2011-12-06,4,3,19.0,126,2468
341,341,2011-12-07,4,3,16.8,50,655
342,342,2011-12-08,4,1,10.9,150,3172
343,343,2011-12-09,4,1,11.9,261,3359
344,344,2011-12-10,4,1,11.3,502,2688
345,345,2011-12-11,4,1,9.1,377,2366
346,346,2011-12-12,4,1,9.8,143,3167
347,347,2011-12-13,4,1,11.6,155,3368
348,348,2011-12-14,4,2,13.0,178,3562
349,349,2011-12-15,4,2,17.3,181,3528
350,350,2011-12-16,4,2,15.4,178,3399
351,351,2011-12-17,4,2,10.6,275,2464
352,352,2011-12-18,4,1,9.8,220,2211
353,353,2011-12-19,4,1,11.3,260,3143
354,354,2011-12-20,4,2,15.8,216,3534
355,355,2011-12-21,1,2,17.6,107,2553
356,356,2011-12-22,1,2,17.4,227,2841
357,357,2011-12-23,1,1,15.3,163,2046
358,358,2011-12-24,1,1,12.4,155,856
359,359,2011-12-25,1,1,11.3,303,451
360,360,2011-12-26,1,1,13.2,430,887
361,361,2011-12-27,1,2,13.3,103,1059
362,362,2011-12-28,1,1,12.3,255,2047
363,363,2011-12-29,1,1,10.2,254,2169
364,364,2011-12-30,1,1,12.8,491,2508
365,365,2011-12-31,1,1,16.8,665,1820
366,366,2012-01-01,1,1,15.2,686,1608
367,367,2012-01-02,1,1,11.2,244,1707
368,368,2012-01-03,1,1,6.2,89,2147
369,369,2012-01-04,1,2,4.4,95,2273
370,370,2012-01-05,1,1,10.9,140,3132
371,371,2012-01-06,1,1,13.7,307,3791
372,372,2012-01-07,1,1,16.1,1070,3451
373,373,2012-01-08,1,1,13.8,599,2826
374,374,2012-01-09,1,2,9.2,106,2270
375,375,2012-01-10,1,1,12.7,173,3425
376,376,2012-01-11,1,2,11.2,92,2085
377,377,2012-01-12,1,2,15.7,269,3828
378,378,2012-01-13,1,1,11.2,174,3040
379,379,2012-01-14,1,1,7.4,333,2160
380,380,2012-01-15,1,1,6.8,284,2027
381,381,2012-01-16,1,1,7.8,217,2081
382,382,2012-01-17,1,2,15.3,127,2808
383,383,2012-01-18,1,1,12.4,109,3267
384,384,2012-01-19,1,1,7.8,130,3162
385,385,2012-01-20,1,2,8.9,115,3048
386,386,2012-01-21,1,2,7.1,67,1234
387,387,2012-01-22,1,2,6.7,196,1781
388,388,2012-01-23,1,2,9.0,145,2287
389,389,2012-01-24,1,1,14.0,439,3900
390,390,2012-01-25,1,1,12.1,467,3803
391,391,2012-01-26,1,2,14.0,244,3831
392,392,2012-01-27,1,2,17.4,269,3187
393,393,2012-01-28,1,1,12.9,775,3248
394,394,2012-01-29,1,1,11.6,558,2685
395,395,2012-01-30,1,1,11.0,126,3498
396,396,2012-01-31,1,1,16.0,324,4185
397,397,2012-02-01,1,1,19.2,304,4275
398,398,2012-02-02,1,2,16.4,190,3571
399,399,2012-02-03,1,1,12.8,310,3841
400,400,2012-02-04,1,2,10.8,384,2448
401,401,2012-02-05,1,2,10.9,318,2629
402,402,2012-02-06,1,1,11.6,206,3578
403,403,2012-02-07,1,1,14.5,199,4176
404,404,2012-02-08,1,2,10.5,109,2693
405,405,2012-02-09,1,1,10.9,163,3667
406,406,2012-02-10,1,2,11.5,227,3604
407,407,2012-02-11,1,3,9.2,192,1977
408,408,2012-02-12,1,1,5.2,73,1456
409,409,2012-02-13,1,1,9.1,94,3328
410,410,2012-02-14,1,2,13.1,135,3787
411,411,2012-02-15,1,1,14.3,141,4028
412,412,2012-02-16,1,2,13.0,74,2931
413,413,2012-02-17,1,1,14.1,349,3805
414,414,2012-02-18,1,1,14.2,1435,2883
415,415,2012-02-19,1,2,11.5,618,2071
416,416,2012-02-20,1,1,11.5,502,2627
417,417,2012-02-21,1,1,11.8,163,3614
418,418,2012-02-22,1,1,16.2,394,4379
419,419,2012-02-23,1,1,18.6,516,4546
420,420,2012-02-24,1,2,16.7,246,3241
421,421,2012-02-25,1,1,11.9,317,2415
422,422,2012-02-26,1,1,11.4,515,2874
423,423,2012-02-27,1,1,15.0,253,4069
424,424,2012-02-28,1,1,14.7,229,4134
425,425,2012-02-29,1,2,14.1,65,1769
426,426,2012-03-01,1,1,19.9,325,4665
427,427,2012-03-02,1,2,14.5,246,2948
428,428,2012-03-03,1,2,17.0,956,3110
429,429,2012-03-04,1,1,13.4,710,2713
430,430,2012-03-05,1,1,10.0,203,3130
431,431,2012-03-06,1,1,10.6,221,3735
432,432,2012-03-07,1,1,16.6,432,4484
433,433,2012-03-08,1,1,21.6,486,4896
434,434,2012-03-09,1,2,16.8,447,4122
435,435,2012-03-10,1,1,11.8,968,3150
436,436,2012-03-11,1,1,14.8,1658,3253
437,437,2012-03-12,1,1,19.1,838,4460
438,438,2012-03-13,1,1,23.2,762,5085
439,439,2012-03-14,1,1,23.5,997,5315
440,440,2012-03-15,1,1,22.9,1005,5187
441,441,2012-03-16,1,2,17.9,548,3830
442,442,2012-03-17,1,2,21.1,3155,4681
443,443,2012-03-18,1,2,19.4,2207,3685
444,444,2012-03-19,1,1,22.3,982,5171
445,445,2012-03-20,1,1,23.0,1051,5042
446,446,2012-03-21,2,2,21.8,1122,5108
447,447,2012-03-22,2,1,22.7,1334,5537
448,448,2012-03-23,2,2,24.7,2469,5893
449,449,2012-03-24,2,2,20.6,1033,2339
450,450,2012-03-25,2,2,17.9,1532,3464
451,451,2012-03-26,2,1,18.3,795,4763
452,452,2012-03-27,2,1,13.3,531,4571
453,453,2012-03-28,2,1,19.9,674,5024
454,454,2012-03-29,2,1,20.3,834,5299
455,455,2012-03-30,2,2,15.2,796,4663
456,456,2012-03-31,2,2,17.4,2301,3934
457,457,2012-04-01,2,2,17.5,2347,3694
458,458,2012-04-02,2,1,17.8,1208,4728
459,459,2012-04-03,2,1,19.1,1348,5424
460,460,2012-04-04,2,1,22.2,1058,5378
461,461,2012-04-05,2,1,17.8,1192,5265
462,462,2012-04-06,2,1,16.5,1807,4653
463,463,2012-04-07,2,1,17.9,3252,3605
464,464,2012-04-08,2,1,20.5,2230,2939
465,465,2012-04-09,2,1,20.1,905,4680
466,466,2012-04-10,2,1,18.3,819,5099
467,467,2012-04-11,2,1,14.3,482,4380
468,468,2012-04-12,2,1,16.3,663,4746
469,469,2012-04-13,2,1,18.1,1252,5146
470,470,2012-04-14,2,1,20.3,2795,4665
471,471,2012-04-15,2,1,24.9,2846,4286
472,472,2012-04-16,2,1,27.2,1198,5172
473,473,2012-04-17,2,1,24.9,989,5702
474,474,2012-04-18,2,2,19.0,347,4020
475,475,2012-04-19,2,1,20.4,846,5719
476,476,2012-04-20,2,1,21.6,1340,5950
477,477,2012-04-21,2,1,23.4,2541,4083
478,478,2012-04-22,2,3,16.3,120,907
479,479,2012-04-23,2,2,13.2,195,3019
480,480,2012-04-24,2,1,16.9,518,5115
481,481,2012-04-25,2,1,19.5,655,5541
482,482,2012-04-26,2,2,20.4,475,4551
483,483,2012-04-27,2,1,18.8,1014,5219
484,484,2012-04-28,2,2,15.4,1120,3100
485,485,2012-04-29,2,1,18.8,2229,4075
486,486,2012-04-30,2,2,19.0,665,4907
487,487,2012-05-01,2,2,25.1,653,5087
488,488,2012-05-02,2,1,23.1,667,5502
489,489,2012-05-03,2,2,23.0,764,5657
490,490,2012-05-04,2,1,25.7,1069,5227
491,491,2012-05-05,2,2,25.5,2496,4387
492,492,2012-05-06,2,2,23.1,2135,4224
493,493,2012-05-07,2,2,22.0,1008,5265
494,494,2012-05-08,2,2,23.8,738,4990
495,495,2012-05-09,2,2,23.6,620,4097
496,496,2012-05-10,2,1,20.7,1026,5546
497,497,2012-05-11,2,1,21.9,1319,5711
498,498,2012-05-12,2,1,23.1,2622,4807
499,499,2012-05-13,2,1,25.1,2172,3946
500,500,2012-05-14,2,2,23.5,342,2501
501,501,2012-05-15,2,2,25.1,625,4490
502,502,2012-05-16,2,1,26.1,991,6433
503,503,2012-05-17,2,1,24.3,1242,6142
504,504,2012-05-18,2,1,23.1,1521,6118
505,505,2012-05-19,2,1,24.6,3410,4884
506,506,2012-05-20,2,1,25.5,2704,4425
507,507,2012-05-21,2,2,24.5,630,3729
508,508,2012-05-22,2,2,25.2,819,5254
509,509,2012-05-23,2,2,25.5,766,4494
510,510,2012-05-24,2,1,26.9,1059,5711
511,511,2012-05-25,2,1,27.9,1417,5317
512,512,2012-05-26,2,1,28.4,2855,3681
513,513,2012-05-27,2,1,28.3,3283,3308
514,514,2012-05-28,2,1,29.2,2557,3486
515,515,2012-05-29,2,1,29.6,880,4863
516,516,2012-05-30,2,2,26.9,745,6110
517,517,2012-05-31,2,1,27.9,1100,6238
518,518,2012-06-01,2,2,26.8,533,3594
519,519,2012-06-02,2,1,23.9,2795,5325
520,520,2012-06-03,2,1,24.7,2494,5147
521,521,2012-06-04,2,1,24.5,1071,5927
522,522,2012-06-05,2,2,22.2,968,6033
523,523,2012-06-06,2,1,22.7,1027,6028
524,524,2012-06-07,2,1,24.7,1038,6456
525,525,2012-06-08,2,1,26.6,1488,6248
526,526,2012-06-09,2,1,29.1,2708,4790
527,527,2012-06-10,2,1,29.8,2224,4374
528,528,2012-06-11,2,2,29.6,1017,5647
529,529,2012-06-12,2,2,26.8,477,4495
530,530,2012-06-13,2,1,26.9,1173,6248
531,531,2012-06-14,2,1,26.6,1180,6183
532,532,2012-06-15,2,1,26.2,1563,6102
533,533,2012-06-16,2,1,25.9,2963,4739
534,534,2012-06-17,2,1,24.3,2634,4344
535,535,2012-06-18,2,2,23.3,653,4446
536,536,2012-06-19,2,1,28.2,968,5857
537,537,2012-06-20,2,1,32.1,872,5339
538,538,2012-06-21,3,1,33.0,778,5127
539,539,2012-06-22,3,1,31.9,964,4859
540,540,2012-06-23,3,1,30.0,2657,4801
541,541,2012-06-24,3,1,30.5,2551,4340
542,542,2012-06-25,3,1,29.3,1139,5640
543,543,2012-06-26,3,1,25.9,1077,6365
544,544,2012-06-27,3,1,28.6,1077,6258
545,545,2012-06-28,3,1,30.7,921,5958
546,546,2012-06-29,3,1,34.2,829,4634
547,547,2012-06-30,3,1,31.4,1455,4232
548,548,2012-07-01,3,1,33.4,1421,4110
549,549,2012-07-02,3,1,32.0,904,5323
550,550,2012-07-03,3,1,32.0,1052,5608
551,551,2012-07-04,3,1,32.4,2562,4841
552,552,2012-07-05,3,1,33.9,1405,4836
553,553,2012-07-06,3,1,34.0,1366,4841
554,554,2012-07-07,3,1,35.3,1448,3392
555,555,2012-07-08,3,1,33.7,1203,3469
556,556,2012-07-09,3,2,29.1,998,5571
557,557,2012-07-10,3,2,29.6,954,5336
558,558,2012-07-11,3,1,29.4,975,6289
559,559,2012-07-12,3,1,29.3,1032,6414
560,560,2012-07-13,3,2,30.0,1511,5988
561,561,2012-07-14,3,2,28.8,2355,4614
562,562,2012-07-15,3,1,30.6,1920,4111
563,563,2012-07-16,3,1,31.3,1088,5742
564,564,2012-07-17,3,1,33.6,921,5865
565,565,2012-07-18,3,1,32.5,799,4914
566,566,2012-07-19,3,1,31.6,888,5703
567,567,2012-07-20,3,2,27.3,747,5123
568,568,2012-07-21,3,3,24.4,1264,3195
569,569,2012-07-22,3,2,27.4,2544,4866
570,570,2012-07-23,3,1,30.4,1135,5831
571,571,2012-07-24,3,1,30.8,1140,6452
572,572,2012-07-25,3,1,29.7,1383,6790
573,573,2012-07-26,3,1,31.8,1036,5825
574,574,2012-07-27,3,1,32.0,1259,5645
575,575,2012-07-28,3,1,31.0,2234,4451
